Destination,Buy rate
0180-1 Shared Cost [EXCL]                         , 0.03600
0180-2 Shared Cost [EXCL]                         ,€ 0.03400
0180-3 Shared Cost [EXCL]                         ,€ 0.07600
0180-4 Shared Cost [EXCL]                         ,€ 0.15100
0180-5 Shared Cost [EXCL]                         ,€ 0.11400
Afghanistan [FIX]                                 ,€ 0.12800
Afghanistan [MOB]                                 ,€ 0.13800
Albania [FIX]                                     ,€ 0.12300
Albania [MOB]                                     ,€ 0.36300
Algeria [FIX]                                     ,€ 0.05000
Algeria [MOB]                                     ,€ 0.67500
American Samoa [FIX]                              ,€ 0.15800
American Samoa [MOB]                              ,€ 0.10200
Andorra [FIX]                                     ,€ 0.02300
Andorra [MOB]                                     ,€ 0.12300
Andorra [SPC]                                     ,€ 0.02300
Angola [FIX]                                      ,€ 0.26800
Angola [MOB]                                      ,€ 0.29300
Anguilla [FIX]                                    ,€ 0.14400
Anguilla [MOB]                                    ,€ 0.16700
Antarctica [FIX]                                  ,€ 0.45700
Argentina [FIX]                                   ,€ 0.01900
Argentina [MOB]                                   ,€ 0.10700
Armenia [FIX]                                     ,€ 0.13700
Armenia [MOB]                                     ,€ 0.16500
Armenia [SPC]                                     ,€ 0.13100
Aruba [FIX]                                       ,€ 0.07300
Aruba [MOB]                                       ,€ 0.16000
Ascension Islands [FIX]                           ,€ 0.64200
Australia [FIX]                                   ,€ 0.02100
Australia [MOB]                                   ,€ 0.02600
Australia [SPC]                                   ,€ 0.02400
Austria [FIX]                                     ,€ 0.01400
Austria [FREE]                                    ,€ 0.00900
Austria [MOB]                                     ,€ 0.03300
Austria [SPC]                                     ,€ 0.18400
Azerbaijan [FIX]                                  ,€ 0.16400
Azerbaijan [MOB]                                  ,€ 3.18700
Bahamas [FIX]                                     ,€ 0.13800
Bahamas [MOB]                                     ,€ 0.14200
Bahrain [FIX]                                     ,€ 0.08400
Bahrain [MOB]                                     ,€ 0.08800
Bangladesh [FIX]                                  ,€ 0.01600
Bangladesh [MOB]                                  ,€ 0.03000
Barbados [FIX]                                    ,€ 0.14000
Barbados [MOB]                                    ,€ 0.16000
Belarus [FIX]                                     ,€ 0.27700
Belarus [MOB]                                     ,€ 0.32100
Belgium [FIX]                                     ,€ 0.07100
Belgium [MOB]                                     ,€ 0.32400
Belgium [SPC]                                     ,€ 0.07200
Belize [FIX]                                      ,€ 0.16000
Belize [MOB]                                      ,€ 0.15900
Benin [FIX]                                       ,€ 0.31200
Benin [MOB]                                       ,€ 0.24600
Benin [SPC]                                       ,€ 0.14100
Bermuda [FIX]                                     ,€ 0.01700
Bermuda [MOB]                                     ,€ 0.01700
Bhutan [FIX]                                      ,€ 0.04000
Bhutan [MOB]                                      ,€ 0.04000
Bolivia [FIX]                                     ,€ 0.07000
Bolivia [MOB]                                     ,€ 0.12500
Bolivia [SPC]                                     ,€ 0.09400
Bosnia-Herzegovina [FIX]                          ,€ 0.11600
Bosnia-Herzegovina [MOB]                          ,€ 0.28700
Bosnia-Herzegovina [SPC]                          ,€ 0.11700
Botswana [FIX]                                    ,€ 0.14600
Botswana [MOB]                                    ,€ 0.17500
Brazil [FIX]                                      ,€ 0.00900
Brazil [MOB]                                      ,€ 0.01400
British Indian Ocean Territory [FIX]              ,€ 0.72600
Brunei Darussalam [FIX]                           ,€ 0.14900
Brunei Darussalam [MOB]                           ,€ 0.16800
Bulgaria [FIX]                                    ,€ 0.06000
Bulgaria [MOB]                                    ,€ 0.21800
Bulgaria [SPC]                                    ,€ 0.01500
Burkina Faso [FIX]                                ,€ 0.28300
Burkina Faso [MOB]                                ,€ 0.26900
Burundi [FIX]                                     ,€ 0.28000
Burundi [MOB]                                     ,€ 0.27100
Cambodia [FIX]                                    ,€ 0.04700
Cambodia [MOB]                                    ,€ 0.05900
Cameroon [FIX]                                    ,€ 0.07900
Cameroon [MOB]                                    ,€ 0.31900
Canada [FIX]                                      ,€ 0.00900
Cape Verde [FIX]                                  ,€ 0.21600
Cape Verde [MOB]                                  ,€ 0.19100
Central African Republic [FIX]                    ,€ 0.28000
Central African Republic [MOB]                    ,€ 1.54500
Chad [FIX]                                        ,€ 0.34100
Chad [MOB]                                        ,€ 0.31400
Chile [FIX]                                       ,€ 0.01200
Chile [MOB]                                       ,€ 0.01100
China [FIX]                                       ,€ 0.05300
China [MOB]                                       ,€ 0.05700
Colombia [FIX]                                    ,€ 0.03700
Colombia [MOB]                                    ,€ 0.05400
Colombia [SPC]                                    ,€ 0.01100
Comoros [FIX]                                     ,€ 0.40100
Comoros [MOB]                                     ,€ 0.42100
Congo Democratic Republic [FIX]                   ,€ 0.29100
Congo Democratic Republic [MOB]                   ,€ 0.35800
Congo Democratic Republic [SPC]                   ,€ 0.31400
Congo [FIX]                                       ,€ 0.31600
Congo [MOB]                                       ,€ 0.42700
Cook Islands [FIX]                                ,€ 6.24900
Costa Rica [FIX]                                  ,€ 0.01800
Costa Rica [MOB]                                  ,€ 0.03900
Croatia [FIX]                                     ,€ 0.02400
Croatia [MOB]                                     ,€ 0.03600
Cuba [FIX]                                        ,€ 0.40600
Cuba [MOB]                                        ,€ 0.40300
Cyprus [FIX]                                      ,€ 0.07000
Cyprus [MOB]                                      ,€ 0.01700
Cyprus [SPC]                                      ,€ 0.04600
Czech Republic [FIX]                              ,€ 0.01900
Czech Republic [MOB]                              ,€ 0.01900
Czech Republic [SPC]                              ,€ 0.01100
Denmark [FIX]                                     ,€ 0.03100
Denmark [MOB]                                     ,€ 0.02700
Denmark [SPC]                                     ,€ 0.01100
Djibouti [FIX]                                    ,€ 0.21900
Djibouti [MOB]                                    ,€ 0.22000
Dominica [FIX]                                    ,€ 0.16000
Dominica [MOB]                                    ,€ 0.14500
Dominican Republic [FIX]                          ,€ 0.03100
Dominican Republic [MOB]                          ,€ 0.06800
East Timor [FIX]                                  ,€ 0.19000
Ecuador [FIX]                                     ,€ 0.10000
Ecuador [MOB]                                     ,€ 0.12500
Egypt [FIX]                                       ,€ 0.06900
Egypt [MOB]                                       ,€ 0.10400
El Salvador [FIX]                                 ,€ 0.06500
El Salvador [MOB]                                 ,€ 0.08200
Equatorial Guinea [FIX]                           ,€ 0.32100
Equatorial Guinea [MOB]                           ,€ 0.43100
Eritrea [FIX]                                     ,€ 0.18200
Eritrea [MOB]                                     ,€ 0.20500
Estonia [FIX]                                     ,€ 0.01500
Estonia [MOB]                                     ,€ 0.07100
Ethiopia [FIX]                                    ,€ 0.19000
Ethiopia [MOB]                                    ,€ 0.21500
Fiji [FIX]                                        ,€ 0.22700
Fiji [MOB]                                        ,€ 0.31800
Finland [FIX]                                     ,€ 0.09500
Finland [MOB]                                     ,€ 0.04400
Finland [SPC]                                     ,€ 0.11000
France [FIX]                                      ,€ 0.02100
France [MOB]                                      ,€ 0.14500
France [SPC]                                      ,€ 0.03300
French Guiana [FIX]                               ,€ 0.01100
French Guiana [MOB]                               ,€ 0.06600
French Polynesia [FIX]                            ,€ 0.42300
French Polynesia [MOB]                            ,€ 0.50000
Gabon [FIX]                                       ,€ 0.29300
Gabon [MOB]                                       ,€ 0.30700
Gambia [FIX]                                      ,€ 0.37400
Gambia [MOB]                                      ,€ 0.45600
Georgia [FIX]                                     ,€ 0.12900
Georgia [MOB]                                     ,€ 0.20200
Germany [FIX]                                     ,€ 0.04100
Germany [FREE]                                    ,€ 0.00800
Germany [MOB]                                     ,€ 0.03200
Ghana [FIX]                                       ,€ 0.15300
Ghana [MOB]                                       ,€ 0.21600
Gibraltar [FIX]                                   ,€ 0.02800
Gibraltar [MOB]                                   ,€ 0.10700
Greece [FIX]                                      ,€ 0.03200
Greece [MOB]                                      ,€ 0.01000
Grenada [FIX]                                     ,€ 0.06800
Grenada [MOB]                                     ,€ 0.15100
Grenada [SPC]                                     ,€ 0.14500
Guadeloupe [FIX]                                  ,€ 0.01400
Guadeloupe [MOB]                                  ,€ 0.05800
Guatemala [FIX]                                   ,€ 0.07200
Guatemala [MOB]                                   ,€ 0.11100
Guinea [FIX]                                      ,€ 0.35300
Guinea [MOB]                                      ,€ 0.36200
Guinea-Bissau [FIX]                               ,€ 0.38300
Guinea-Bissau [MOB]                               ,€ 0.38900
Guyana [FIX]                                      ,€ 0.18200
Guyana [MOB]                                      ,€ 0.16700
Haiti [FIX]                                       ,€ 0.58900
Haiti [MOB]                                       ,€ 0.36800
Honduras [FIX]                                    ,€ 0.08500
Honduras [MOB]                                    ,€ 0.11700
Hong Kong [FIX]                                   ,€ 0.02700
Hong Kong [MOB]                                   ,€ 0.02400
Hong Kong [SPC]                                   ,€ 0.02000
Hungary [FIX]                                     ,€ 0.04000
Hungary [MOB]                                     ,€ 0.01600
Iceland [FIX]                                     ,€ 0.01100
Iceland [MOB]                                     ,€ 0.01300
Iceland [SPC]                                     ,€ 0.01200
India [FIX]                                       ,€ 0.03100
India [MOB]                                       ,€ 0.02800
Indonesia [FIX]                                   ,€ 0.03400
Indonesia [MOB]                                   ,€ 0.04600
Inmarsat [MOB]                                    ,€ 2.80900
Iran [FIX]                                        ,€ 0.13100
Iran [MOB]                                        ,€ 0.18100
Iraq [FIX]                                        ,€ 0.09900
Iraq [MOB]                                        ,€ 0.14700
Ireland [FIX]                                     ,€ 0.02300
Ireland [MOB]                                     ,€ 0.01200
Ireland [National Rate]                           ,€ 0.11000
Ireland [SPC]                                     ,€ 0.06300
Israel [FIX]                                      ,€ 0.03000
Israel [MOB]                                      ,€ 0.07700
Italy [FIX]                                       ,€ 0.01600
Italy [MOB]                                       ,€ 0.07700
Italy [SPC]                                       ,€ 0.01200
Ivory Coast [FIX]                                 ,€ 0.25200
Ivory Coast [MOB]                                 ,€ 0.24300
Jamaica [FIX]                                     ,€ 0.13800
Jamaica [MOB]                                     ,€ 0.13300
Japan [FIX]                                       ,€ 0.02300
Japan [MOB]                                       ,€ 0.03400
Jordan [FIX]                                      ,€ 0.11600
Jordan [MOB]                                      ,€ 0.11700
Kazakhstan [FIX]                                  ,€ 0.03400
Kazakhstan [MOB]                                  ,€ 0.15500
Kenya [FIX]                                       ,€ 0.14500
Kenya [MOB]                                       ,€ 0.09100
Kenya [Safaricom]                                 ,€ 0.07500
Kiribati [FIX]                                    ,€ 1.37600
Kiribati [MOB]                                    ,€ 0.39000
Kosovo [FIX]                                      ,€ 0.34500
Kosovo [MOB]                                      ,€ 0.37400
Kuwait [FIX]                                      ,€ 0.03600
Kuwait [MOB]                                      ,€ 0.03100
Kyrgyzstan [FIX]                                  ,€ 0.09000
Kyrgyzstan [MOB]                                  ,€ 0.14700
Laos [FIX]                                        ,€ 0.05800
Laos [MOB]                                        ,€ 0.06200
Latvia [FIX]                                      ,€ 0.05000
Latvia [MOB]                                      ,€ 0.01900
Latvia [SPC]                                      ,€ 0.01900
Latvia [Tele2]                                    ,€ 0.01900
Lebanon [FIX]                                     ,€ 0.07000
Lebanon [MOB]                                     ,€ 0.12600
Lebanon [SPC]                                     ,€ 0.07000
Lesotho [FIX]                                     ,€ 0.64300
Lesotho [MOB]                                     ,€ 2.91200
Liberia [FIX]                                     ,€ 0.28100
Liberia [MOB]                                     ,€ 0.26900
Libya [FIX]                                       ,€ 0.54500
Libya [MOB]                                       ,€ 0.19200
Liechtenstein [FIX]                               ,€ 0.02900
Liechtenstein [MOB]                               ,€ 0.04200
Liechtenstein [SPC]                               ,€ 0.00900
Lithuania [FIX others]                            ,€ 0.07500
Lithuania [FIX]                                   ,€ 0.01400
Lithuania [MOB]                                   ,€ 0.26800
Luxembourg [FIX]                                  ,€ 0.02700
Luxembourg [MOB]                                  ,€ 0.02400
Luxembourg [SPC]                                  ,€ 0.14700
Macao [FIX]                                       ,€ 0.07900
Macao [MOB]                                       ,€ 0.07900
Macedonia [FIX]                                   ,€ 0.11800
Macedonia [MOB]                                   ,€ 0.30800
Madagascar [FIX]                                  ,€ 0.43600
Madagascar [MOB]                                  ,€ 0.51500
Malawi [FIX]                                      ,€ 0.35900
Malawi [MOB]                                      ,€ 0.32400
Malaysia [FIX]                                    ,€ 0.01100
Malaysia [MOB]                                    ,€ 0.01100
Maldives [FIX]                                    ,€ 0.80600
Maldives [MOB]                                    ,€ 1.09500
Mali [FIX]                                        ,€ 0.46800
Mali [MOB]                                        ,€ 0.62300
Malta [FIX]                                       ,€ 0.01000
Malta [MOB]                                       ,€ 0.02300
Malta [SPC]                                       ,€ 0.16000
Martinique [FIX]                                  ,€ 0.01100
Martinique [MOB]                                  ,€ 0.06600
Mauritania [FIX]                                  ,€ 0.27200
Mauritania [MOB]                                  ,€ 0.70300
Mauritius [FIX]                                   ,€ 0.12700
Mauritius [MOB]                                   ,€ 0.04000
Mauritius [SPC]                                   ,€ 0.03900
Mayotte [FIX]                                     ,€ 0.02100
Mayotte [MOB]                                     ,€ 0.08500
Mexico [FIX]                                      ,€ 0.01700
Mexico [MOB]                                      ,€ 0.00900
Mexico [SPC]                                      ,€ 0.04000
Micronesia [FIX]                                  ,€ 0.30100
Moldova [FIX]                                     ,€ 0.18200
Moldova [MOB]                                     ,€ 0.14700
Monaco [FIX]                                      ,€ 0.05600
Monaco [MOB]                                      ,€ 0.05600
Monaco [SPC]                                      ,€ 0.05100
Mongolia [FIX]                                    ,€ 0.01500
Mongolia [MOB]                                    ,€ 0.01600
Montenegro [FIX]                                  ,€ 0.12900
Montenegro [MOB]                                  ,€ 0.28600
Morocco [FIX]                                     ,€ 0.07500
Morocco [MOB]                                     ,€ 0.46100
Morocco [Meditel_Landline]                        ,€ 0.11200
Morocco [SPC]                                     ,€ 0.05500
Mozambique [FIX]                                  ,€ 0.13200
Mozambique [MOB]                                  ,€ 0.20200
Myanmar [FIX]                                     ,€ 2.78800
Myanmar [MOB]                                     ,€ 0.19600
Namibia [FIX]                                     ,€ 0.07600
Namibia [MOB]                                     ,€ 0.02400
Nauru [FIX]                                       ,€ 3.65100
Nauru [MOB]                                       ,€ 3.65100
Nepal [FIX]                                       ,€ 0.26200
Nepal [MOB]                                       ,€ 0.97900
Netherlands Antilles [FIX]                        ,€ 0.04000
Netherlands Antilles [MOB]                        ,€ 0.10100
Netherlands [FIX]                                 ,€ 0.01200
Netherlands [FREE]                                ,€ 0.00700
Netherlands [MOB]                                 ,€ 0.31200
Netherlands [SPC]                                 ,€ 0.01400
New Caledonia [FIX]                               ,€ 0.22600
New Caledonia [MOB]                               ,€ 0.27000
New Zealand [FIX]                                 ,€ 0.02800
New Zealand [MOB]                                 ,€ 0.04700
New Zealand [SPC]                                 ,€ 0.02800
Nicaragua [FIX]                                   ,€ 0.09700
Nicaragua [MOB]                                   ,€ 0.14600
Niger [FIX]                                       ,€ 0.18800
Niger [MOB]                                       ,€ 0.20500
Nigeria [FIX]                                     ,€ 0.11500
Nigeria [MOB]                                     ,€ 0.11500
Niue [FIX]                                        ,€ 0.42900
North Korea [FIX]                                 ,€ 0.36400
Norway [FIX]                                      ,€ 0.01000
Norway [FREE]                                     ,€ 0.00900
Norway [MOB]                                      ,€ 0.01200
Norway [SPC]                                      ,€ 0.07200
Oman [FIX]                                        ,€ 0.08400
Oman [MOB]                                        ,€ 0.07800
Pakistan [FIX]                                    ,€ 0.02300
Pakistan [MOB]                                    ,€ 0.05200
Palau [FIX]                                       ,€ 0.23100
Palestinian Territory [FIX]                       ,€ 0.12700
Palestinian Territory [MOB]                       ,€ 0.18500
Panama [FIX]                                      ,€ 0.02900
Panama [MOB]                                      ,€ 0.09700
Panama [SPC]                                      ,€ 0.02900
Papua New Guinea [FIX]                            ,€ 0.75700
Papua New Guinea [MOB]                            ,€ 0.88500
Paraguay [FIX]                                    ,€ 0.02300
Paraguay [MOB]                                    ,€ 0.02300
Peru [FIX]                                        ,€ 0.00900
Peru [MOB]                                        ,€ 0.00900
Peru [Rural]                                      ,€ 0.01300
Philippines [FIX]                                 ,€ 0.11800
Philippines [MOB]                                 ,€ 0.10200
Poland [FIX]                                      ,€ 0.01400
Poland [MOB]                                      ,€ 0.17500
Poland [SPC]                                      ,€ 0.01300
Portugal Madeira and Azores [FIX]                 ,€ 0.01500
Portugal [FIX]                                    ,€ 0.01500
Portugal [MOB]                                    ,€ 0.01800
Portugal [SPC]                                    ,€ 0.02200
Puerto Rico [FIX]                                 ,€ 0.00900
Puerto Rico [MOB]                                 ,€ 0.00900
Qatar [FIX]                                       ,€ 0.14300
Qatar [MOB]                                       ,€ 0.14200
Reunion [FIX]                                     ,€ 0.02400
Reunion [MOB]                                     ,€ 0.05700
Romania [FIX]                                     ,€ 0.00900
Romania [MOB]                                     ,€ 0.03800
Russian Federation [Abkhazia] [EXCL]              ,€ 0.16500
Russian Federation [Beeline]                      ,€ 0.13300
Russian Federation [FIX]                          ,€ 0.79300
Russian Federation [MOB]                          ,€ 0.18900
Russian Federation [satellite] [EXCL]             ,€ 1.56700
Rwanda [FIX]                                      ,€ 0.20300
Rwanda [MOB]                                      ,€ 0.20800
Samoa [FIX]                                       ,€ 1.59500
San Marino [FIX]                                  ,€ 0.02100
Sao Tome and Principe [FIX]                       ,€ 0.72400
Saudi Arabia [FIX]                                ,€ 0.79300
Saudi Arabia [MOB]                                ,€ 0.11500
Senegal [FIX]                                     ,€ 0.16500
Senegal [MOB]                                     ,€ 0.10100
Senegal [Tigo]                                    ,€ 0.29400
Serbia and Montenegro [FIX]                       ,€ 0.10200
Serbia and Montenegro [MOB]                       ,€ 0.27900
Seychelles [FIX]                                  ,€ 0.48300
Seychelles [MOB]                                  ,€ 0.47700
Seychelles [SPC]                                  ,€ 0.40400
Sierra Leone [FIX]                                ,€ 0.30000
Sierra Leone [MOB]                                ,€ 0.27300
Singapore [FIX]                                   ,€ 0.02100
Singapore [MOB]                                   ,€ 0.10200
Slovak Republic [FIX]                             ,€ 0.00900
Slovak Republic [MOB]                             ,€ 0.02100
Slovenia [FIX]                                    ,€ 0.03200
Slovenia [IPKO]                                   ,€ 0.30900
Slovenia [MOB]                                    ,€ 0.09000
Slovenia [OLO]                                    ,€ 0.05700
Solomon Islands [FIX]                             ,€ 3.32800
Somalia [FIX]                                     ,€ 0.22700
Somalia [MOB]                                     ,€ 0.21500
Somalia [SPC]                                     ,€ 0.27800
South Africa [FIX]                                ,€ 0.05600
South Africa [MOB]                                ,€ 0.05800
South Africa [SPC]                                ,€ 0.05500
South Korea [FIX]                                 ,€ 0.01900
South Korea [MOB]                                 ,€ 0.02000
South Sudan [FIX]                                 ,€ 0.21400
South Sudan [MOB]                                 ,€ 0.37200
Spain [902] [EXCL]                                ,€ 1.03000
Spain [FIX]                                       ,€ 0.07100
Spain [FREE]                                      ,€ 0.00800
Spain [MOB]                                       ,€ 0.04700
Spain [SPC]                                       ,€ 0.03100
Sri Lanka [FIX]                                   ,€ 0.17600
Sri Lanka [MOB]                                   ,€ 0.15800
St Helena [FIX]                                   ,€ 0.79000
St Kitts and Nevis [FIX]                          ,€ 0.14800
St Kitts and Nevis [MOB]                          ,€ 0.17500
St Lucia [FIX]                                    ,€ 0.16900
St Lucia [MOB]                                    ,€ 0.17700
St Lucia [SPC]                                    ,€ 0.15200
St Pierre and Miquelon [FIX]                      ,€ 0.14800
St Pierre and Miquelon [MOB]                      ,€ 0.18700
Sudan [FIX]                                       ,€ 0.36800
Sudan [MOB]                                       ,€ 0.33400
Suriname [FIX]                                    ,€ 0.27300
Suriname [MOB]                                    ,€ 0.67500
Swaziland [FIX]                                   ,€ 0.08700
Swaziland [MOB]                                   ,€ 0.11900
Sweden [FIX]                                      ,€ 0.01000
Sweden [MOB]                                      ,€ 0.01800
Sweden [SPC]                                      ,€ 0.01000
Switzerland [84X][EXCL]                           ,€ 0.02600
Switzerland [FIX]                                 ,€ 0.13000
Switzerland [FREE]                                ,€ 0.03700
Switzerland [MOB]                                 ,€ 0.33000
Switzerland [SPC]                                 ,€ 0.04100
Syrian Arab Republic [FIX]                        ,€ 0.16100
Syrian Arab Republic [MOB]                        ,€ 0.30900
Taiwan [FIX]                                      ,€ 0.02000
Taiwan [MOB]                                      ,€ 0.06600
Tajikistan [FIX]                                  ,€ 0.12200
Tajikistan [MOB]                                  ,€ 0.12900
Tanzania [FIX]                                    ,€ 0.19100
Tanzania [MOB]                                    ,€ 0.18200
Thailand [FIX]                                    ,€ 0.03300
Thailand [MOB]                                    ,€ 0.02100
Thuraya [MOB] [EXCL]                              ,€ 1.48500
Togo [FIX]                                        ,€ 0.48800
Togo [MOB]                                        ,€ 0.28600
Tonga [FIX]                                       ,€ 39.17200
Tonga [MOB]                                       ,€ 0.65300
Trinidad and Tobago [FIX]                         ,€ 0.07000
Trinidad and Tobago [MOB]                         ,€ 0.11900
Tunisia [FIX]                                     ,€ 0.62000
Tunisia [MOB]                                     ,€ 0.67700
Turkey [FIX]                                      ,€ 0.02800
Turkey [MOB]                                      ,€ 0.19400
Turkey northern Cyprus [FIX] [EXCL]               ,€ 0.02900
Turkey northern Cyprus [MOB] [EXCL]               ,€ 0.07200
Turkmenistan [FIX]                                ,€ 0.16400
Turkmenistan [MOB]                                ,€ 0.17900
Turks and Caicos [FIX]                            ,€ 0.14100
Turks and Caicos [MOB]                            ,€ 0.15500
Tuvalu [FIX]                                      ,€ 13.45600
US Virgin Islands [FIX]                           ,€ 0.02100
US Virgin Islands [MOB]                           ,€ 0.02100
Uganda [FIX]                                      ,€ 0.24200
Uganda [MOB]                                      ,€ 0.26200
Ukraine [FIX]                                     ,€ 0.09300
Ukraine [MOB]                                     ,€ 0.19300
United Arab Emirates [FIX]                        ,€ 0.12200
United Arab Emirates [MOB]                        ,€ 0.79300
United Kingdom [084 Rate]                         ,€ 0.07400
United Kingdom [087 Rate]                         ,€ 0.12700
United Kingdom [FIX]                              ,€ 0.01800
United Kingdom [FREE]                             ,€ 0.00800
United Kingdom [MOB2]                             ,€ 0.08600
United Kingdom [MOB]                              ,€ 0.01900
United Kingdom [Personal]                         ,€ 0.17800
United Kingdom [SPC]                              ,€ 0.10400
Uruguay [FIX]                                     ,€ 0.05500
Uruguay [MOB]                                     ,€ 0.13500
Uzbekistan [FIX]                                  ,€ 0.11500
Uzbekistan [MOB]                                  ,€ 0.08500
Vanuatu [FIX]                                     ,€ 1.38900
Vanuatu [MOB]                                     ,€ 3.69300
Venezuela [FIX]                                   ,€ 0.01800
Venezuela [MOB]                                   ,€ 0.04600
Viet Nam [FIX]                                    ,€ 0.05200
Viet Nam [MOB]                                    ,€ 0.15500
Wallis and Futuna [FIX]                           ,€ 0.22400
Yemen [FIX]                                       ,€ 0.53900
Yemen [MOB]                                       ,€ 0.53600
Zambia [FIX]                                      ,€ 0.22500
Zambia [MOB]                                      ,€ 0.30300
Zimbabwe [FIX]                                    ,€ 0.17900
Zimbabwe [MOB]                                    ,€ 0.35500